epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9875,1.03578,2.86675,1.21743,0.00684,0.98734,0.37346,0.29371,0.60555,2.70432,0.88855,0.00016,0.00016,0.00016
2,107.967,0.78784,2.22447,1.04509,0.00684,0.98734,0.71901,0.56157,0.63259,2.5002,0.88165,0.000336634,0.000336634,0.000336634
3,159.809,0.79876,1.60716,1.00332,0.9376,0.67089,0.74232,0.58061,0.70281,2.43669,0.89879,0.000509704,0.000509704,0.000509704
4,212.446,0.81168,1.22227,1.02008,1,0.3018,0.6111,0.48195,0.898,2.5446,1.09441,0.00067921,0.00067921,0.00067921
5,264.266,0.74431,1.15658,1.01054,0.48809,0.27848,0.31725,0.22369,1.13036,2.62137,1.23055,0.000845152,0.000845152,0.000845152
6,315.726,0.80601,1.129,1.0246,0.86036,0.40506,0.53832,0.36417,1.11087,2.46006,1.14249,0.00100753,0.00100753,0.00100753
7,367.71,0.67719,3.0575,0.89947,0.97403,0.47485,0.74076,0.50665,1.04476,2.34299,1.18228,0.00116634,0.00116634,0.00116634
8,421.367,0.80603,1.06327,1.04434,0.9388,0.67089,0.82138,0.64098,0.79417,1.80701,1.06296,0.00132159,0.00132159,0.00132159
9,469.801,0.76195,0.96601,0.99833,0.8301,0.65823,0.78395,0.56099,0.95619,1.82562,1.07967,0.00147328,0.00147328,0.00147328
10,517.43,0.89464,1.07862,1.09348,0.83997,0.75949,0.8226,0.63899,0.77944,1.46963,0.99803,0.0016214,0.0016214,0.0016214
11,567.176,0.60448,2.2189,0.85765,0.93824,0.7692,0.91275,0.72039,0.7139,1.31689,0.92243,0.00176596,0.00176596,0.00176596
12,617.531,0.76788,1.03319,1.01308,0.81757,0.68079,0.75012,0.60057,0.76071,1.76669,1.0206,0.0017822,0.0017822,0.0017822
13,668.866,0.79709,1.01666,1.01109,0.83096,0.62025,0.74979,0.59654,0.78623,1.61669,1.02116,0.0017624,0.0017624,0.0017624
14,748.341,0.70464,0.93791,0.9774,0.89726,0.81013,0.91024,0.72724,0.69046,1.16366,0.92082,0.0017426,0.0017426,0.0017426
15,958.221,0.6668,0.86363,0.96901,0.97329,0.87342,0.95714,0.79,0.61822,0.96638,0.90365,0.0017228,0.0017228,0.0017228
16,1006.39,0.7179,0.86751,0.97305,0.94739,0.91181,0.95096,0.77387,0.63496,0.92738,0.90607,0.001703,0.001703,0.001703
17,1053.86,0.64966,0.74915,0.96911,0.94762,0.91597,0.95461,0.78428,0.6241,1.05993,0.88828,0.0016832,0.0016832,0.0016832
18,1101.47,0.67588,0.76797,0.94613,0.9603,0.91849,0.95659,0.82143,0.57871,0.99274,0.87604,0.0016634,0.0016634,0.0016634
19,1149.53,0.66877,0.73349,0.94666,0.89994,0.91083,0.93512,0.81027,0.62064,0.88512,0.89463,0.0016436,0.0016436,0.0016436
20,1199.1,0.68004,0.76083,0.96833,0.91567,0.91139,0.96031,0.80483,0.66228,1.01379,0.90657,0.0016238,0.0016238,0.0016238
21,1249.42,0.64355,0.79094,0.94636,0.91995,0.92405,0.93951,0.77735,0.6594,1.05204,0.91337,0.001604,0.001604,0.001604
22,1300.71,0.65952,0.72261,0.96259,0.88925,0.91472,0.94329,0.76701,0.65776,1.03327,0.91057,0.0015842,0.0015842,0.0015842
23,1351.45,0.7374,0.79669,0.99509,0.95747,0.93671,0.96449,0.77822,0.6398,0.93529,0.93932,0.0015644,0.0015644,0.0015644
24,1402.78,0.6792,0.73638,0.9655,0.89191,0.89873,0.91539,0.69889,0.67144,1.26298,0.95411,0.0015446,0.0015446,0.0015446
25,1453.06,0.6925,0.81949,0.96704,0.93708,0.94937,0.94914,0.78398,0.55357,0.83274,0.87045,0.0015248,0.0015248,0.0015248
26,1502.61,0.75909,0.76029,1.04009,0.95962,0.93671,0.95817,0.79514,0.53211,0.67984,0.85164,0.001505,0.001505,0.001505
27,1563.59,0.66306,0.64985,0.96706,0.94904,0.94937,0.95986,0.81371,0.59382,0.66886,0.85835,0.0014852,0.0014852,0.0014852
28,1613.89,0.59837,0.61853,0.94789,0.9863,0.91124,0.96347,0.79223,0.58483,0.69944,0.88605,0.0014654,0.0014654,0.0014654
29,1664.01,0.67524,0.70827,0.99169,0.95756,0.89873,0.96852,0.83265,0.52363,0.65634,0.85746,0.0014456,0.0014456,0.0014456
30,1714.06,0.62126,0.6331,0.93423,0.95758,0.8573,0.94772,0.79054,0.55581,0.68846,0.87329,0.0014258,0.0014258,0.0014258
31,1764.16,0.5336,2.64132,0.83387,0.92014,0.92405,0.96248,0.76798,0.58444,0.65257,0.9073,0.001406,0.001406,0.001406
32,1813.73,0.60223,0.60903,0.93924,0.89843,0.82278,0.90067,0.75318,0.60183,0.85588,0.89615,0.0013862,0.0013862,0.0013862
